# freq, I_pwr, V_pwr, I_th, V_th
3.6667e+01 7.4154e+00 2.5274e+00 1.3227e+01 5.3102e-02
3.6757e+01 7.3936e+00 2.5170e+00 1.3280e+01 6.4881e-02
3.6847e+01 7.3718e+00 2.5066e+00 1.3332e+01 7.8636e-02
3.6937e+01 7.3502e+00 2.4963e+00 1.3382e+01 9.4573e-02
3.7027e+01 7.3287e+00 2.4861e+00 1.3429e+01 1.1290e-01
3.7117e+01 7.3073e+00 2.4759e+00 1.3474e+01 1.3382e-01
3.7207e+01 7.2861e+00 2.4658e+00 1.3517e+01 1.5755e-01
3.7297e+01 7.2649e+00 2.4557e+00 1.3556e+01 1.8428e-01
3.7387e+01 7.2439e+00 2.4457e+00 1.3593e+01 2.1420e-01
3.7477e+01 7.2229e+00 2.4358e+00 1.3626e+01 2.4749e-01
3.7568e+01 7.2021e+00 2.4259e+00 1.3656e+01 2.8432e-01
3.7658e+01 7.1814e+00 2.4162e+00 1.3682e+01 3.2485e-01
3.7748e+01 7.1609e+00 2.4064e+00 1.3705e+01 3.6920e-01
3.7838e+01 7.1404e+00 2.3968e+00 1.3724e+01 4.1749e-01
3.7928e+01 7.1200e+00 2.3871e+00 1.3739e+01 4.6982e-01
3.8018e+01 7.0997e+00 2.3776e+00 1.3750e+01 5.2626e-01
3.8108e+01 7.0796e+00 2.3681e+00 1.3757e+01 5.8687e-01
3.8198e+01 7.0596e+00 2.3587e+00 1.3761e+01 6.5167e-01
3.8288e+01 7.0396e+00 2.3493e+00 1.3760e+01 7.2069e-01
3.8378e+01 7.0198e+00 2.3400e+00 1.3755e+01 7.9389e-01
3.8468e+01 7.0001e+00 2.3308e+00 1.3746e+01 8.7126e-01
3.8559e+01 6.9804e+00 2.3216e+00 1.3733e+01 9.5274e-01
3.8649e+01 6.9609e+00 2.3124e+00 1.3716e+01 1.0382e+00
3.8739e+01 6.9415e+00 2.3034e+00 1.3695e+01 1.1277e+00
3.8829e+01 6.9222e+00 2.2943e+00 1.3671e+01 1.2210e+00
3.8919e+01 6.9030e+00 2.2854e+00 1.3643e+01 1.3179e+00
3.9009e+01 6.8838e+00 2.2765e+00 1.3612e+01 1.4185e+00
3.9099e+01 6.8648e+00 2.2676e+00 1.3578e+01 1.5224e+00
3.9189e+01 6.8459e+00 2.2588e+00 1.3540e+01 1.6296e+00
3.9279e+01 6.8271e+00 2.2501e+00 1.3500e+01 1.7398e+00
3.9369e+01 6.8084e+00 2.2414e+00 1.3457e+01 1.8530e+00
3.9459e+01 6.7897e+00 2.2327e+00 1.3411e+01 1.9688e+00
3.9550e+01 6.7712e+00 2.2241e+00 1.3363e+01 2.0871e+00
3.9640e+01 6.7528e+00 2.2156e+00 1.3313e+01 2.2078e+00
3.9730e+01 6.7344e+00 2.2071e+00 1.3261e+01 2.3305e+00
3.9820e+01 6.7162e+00 2.1987e+00 1.3207e+01 2.4551e+00
3.9910e+01 6.6980e+00 2.1903e+00 1.3151e+01 2.5814e+00
4.0000e+01 6.6800e+00 2.1820e+00 1.3094e+01 2.7092e+00
4.0090e+01 6.6620e+00 2.1737e+00 1.3036e+01 2.8383e+00
4.0180e+01 6.6441e+00 2.1655e+00 1.2977e+01 2.9685e+00
4.0270e+01 6.6263e+00 2.1573e+00 1.2918e+01 3.0996e+00
4.0360e+01 6.6086e+00 2.1492e+00 1.2857e+01 3.2313e+00
4.0450e+01 6.5910e+00 2.1411e+00 1.2796e+01 3.3635e+00
4.0541e+01 6.5735e+00 2.1331e+00 1.2735e+01 3.4960e+00
4.0631e+01 6.5561e+00 2.1251e+00 1.2673e+01 3.6286e+00
4.0721e+01 6.5387e+00 2.1172e+00 1.2611e+01 3.7610e+00
4.0811e+01 6.5214e+00 2.1093e+00 1.2549e+01 3.8930e+00
4.0901e+01 6.5043e+00 2.1014e+00 1.2487e+01 4.0246e+00
4.0991e+01 6.4872e+00 2.0936e+00 1.2426e+01 4.1553e+00
4.1081e+01 6.4702e+00 2.0859e+00 1.2364e+01 4.2850e+00
4.1171e+01 6.4533e+00 2.0782e+00 1.2302e+01 4.4135e+00
