# f, o1, x1, o2, x2, o3, x3, o4, x4
1.7297e+01 1.4852e-03 3.1455e-04 1.4776e+00 1.4776e+00 4.6727e+00 4.5836e+00 4.6727e+00 4.6727e+00
1.7387e+01 1.3233e-03 2.8068e-04 1.4931e+00 1.4931e+00 4.7215e+00 4.6011e+00 4.7215e+00 4.7215e+00
1.7477e+01 1.1794e-03 2.5051e-04 1.5086e+00 1.5086e+00 4.7706e+00 4.6114e+00 4.7706e+00 4.7706e+00
1.7568e+01 1.0513e-03 2.2363e-04 1.5242e+00 1.5242e+00 4.8199e+00 4.6137e+00 4.8199e+00 4.8199e+00
1.7658e+01 9.3731e-04 1.9967e-04 1.5399e+00 1.5399e+00 4.8694e+00 4.6074e+00 4.8695e+00 4.8695e+00
1.7748e+01 8.3585e-04 1.7831e-04 1.5556e+00 1.5556e+00 4.9192e+00 4.5918e+00 4.9193e+00 4.9193e+00
1.7838e+01 7.4554e-04 1.5927e-04 1.5714e+00 1.5714e+00 4.9692e+00 4.5668e+00 4.9693e+00 4.9693e+00
1.7928e+01 6.6511e-04 1.4229e-04 1.5874e+00 1.5874e+00 5.0193e+00 4.5319e+00 5.0197e+00 5.0197e+00
1.8018e+01 5.9349e-04 1.2715e-04 1.6034e+00 1.6034e+00 5.0695e+00 4.4873e+00 5.0702e+00 5.0702e+00
1.8108e+01 5.2968e-04 1.1363e-04 1.6194e+00 1.6194e+00 5.1196e+00 4.4331e+00 5.1211e+00 5.1211e+00
1.8198e+01 4.7283e-04 1.0158e-04 1.6356e+00 1.6356e+00 5.1694e+00 4.3695e+00 5.1722e+00 5.1722e+00
1.8288e+01 4.2217e-04 9.0820e-05 1.6518e+00 1.6518e+00 5.2187e+00 4.2971e+00 5.2235e+00 5.2235e+00
1.8378e+01 3.7701e-04 8.1215e-05 1.6681e+00 1.6681e+00 5.2671e+00 4.2164e+00 5.2751e+00 5.2751e+00
1.8468e+01 3.3675e-04 7.2641e-05 1.6845e+00 1.6845e+00 5.3139e+00 4.1281e+00 5.3269e+00 5.3269e+00
1.8559e+01 3.0085e-04 6.4984e-05 1.7010e+00 1.7010e+00 5.3587e+00 4.0329e+00 5.3790e+00 5.3790e+00
1.8649e+01 2.6883e-04 5.8145e-05 1.7176e+00 1.7176e+00 5.4006e+00 3.9317e+00 5.4314e+00 5.4314e+00
1.8739e+01 2.4026e-04 5.2035e-05 1.7342e+00 1.7342e+00 5.4388e+00 3.8252e+00 5.4840e+00 5.4840e+00
1.8829e+01 2.1477e-04 4.6577e-05 1.7509e+00 1.7509e+00 5.4724e+00 3.7144e+00 5.5368e+00 5.5368e+00
1.8919e+01 1.9203e-04 4.1698e-05 1.7677e+00 1.7677e+00 5.5003e+00 3.6001e+00 5.5899e+00 5.5899e+00
1.9009e+01 1.7172e-04 3.7338e-05 1.7846e+00 1.7846e+00 5.5216e+00 3.4830e+00 5.6433e+00 5.6433e+00
1.9099e+01 1.5360e-04 3.3439e-05 1.8015e+00 1.8015e+00 5.5352e+00 3.3641e+00 5.6969e+00 5.6969e+00
1.9189e+01 1.3741e-04 2.9954e-05 1.8186e+00 1.8186e+00 5.5402e+00 3.2439e+00 5.7508e+00 5.7508e+00
1.9279e+01 1.2295e-04 2.6836e-05 1.8357e+00 1.8357e+00 5.5359e+00 3.1233e+00 5.8049e+00 5.8049e+00
1.9369e+01 1.1004e-04 2.4047e-05 1.8529e+00 1.8529e+00 5.5214e+00 3.0028e+00 5.8593e+00 5.8593e+00
1.9459e+01 9.8496e-05 2.1552e-05 1.8701e+00 1.8701e+00 5.4964e+00 2.8831e+00 5.9139e+00 5.9139e+00
1.9550e+01 8.8183e-05 1.9320e-05 1.8875e+00 1.8875e+00 5.4604e+00 2.7646e+00 5.9688e+00 5.9688e+00
1.9640e+01 7.8965e-05 1.7321e-05 1.9049e+00 1.9049e+00 5.4134e+00 2.6477e+00 6.0240e+00 6.0240e+00
1.9730e+01 7.0723e-05 1.5533e-05 1.9225e+00 1.9225e+00 5.3553e+00 2.5330e+00 6.0793e+00 6.0793e+00
1.9820e+01 6.3354e-05 1.3931e-05 1.9401e+00 1.9401e+00 5.2864e+00 2.4207e+00 6.1350e+00 6.1350e+00
1.9910e+01 5.6763e-05 1.2497e-05 1.9577e+00 1.9577e+00 5.2071e+00 2.3111e+00 6.1909e+00 6.1909e+00
2.0000e+01 5.0867e-05 1.1212e-05 1.9755e+00 1.9755e+00 5.1180e+00 2.2044e+00 6.2470e+00 6.2470e+00
2.0090e+01 4.5592e-05 1.0061e-05 1.9933e+00 1.9933e+00 5.0197e+00 2.1009e+00 6.3035e+00 6.3035e+00
2.0180e+01 4.0871e-05 9.0303e-06 2.0112e+00 2.0112e+00 4.9129e+00 2.0007e+00 6.3601e+00 6.3601e+00
2.0270e+01 3.6646e-05 8.1063e-06 2.0292e+00 2.0292e+00 4.7986e+00 1.9038e+00 6.4170e+00 6.4170e+00
2.0360e+01 3.2864e-05 7.2781e-06 2.0473e+00 2.0473e+00 4.6777e+00 1.8104e+00 6.4742e+00 6.4742e+00
2.0450e+01 2.9477e-05 6.5356e-06 2.0655e+00 2.0655e+00 4.5510e+00 1.7205e+00 6.5316e+00 6.5316e+00
2.0541e+01 2.6444e-05 5.8699e-06 2.0837e+00 2.0837e+00 4.4196e+00 1.6341e+00 6.5893e+00 6.5893e+00
2.0631e+01 2.3727e-05 5.2729e-06 2.1020e+00 2.1020e+00 4.2844e+00 1.5512e+00 6.6472e+00 6.6472e+00
2.0721e+01 2.1294e-05 4.7374e-06 2.1204e+00 2.1204e+00 4.1463e+00 1.4717e+00 6.7054e+00 6.7054e+00
2.0811e+01 1.9113e-05 4.2570e-06 2.1389e+00 2.1389e+00 4.0061e+00 1.3957e+00 6.7638e+00 6.7638e+00
2.0901e+01 1.7159e-05 3.8260e-06 2.1575e+00 2.1575e+00 3.8647e+00 1.3231e+00 6.8225e+00 6.8225e+00
2.0991e+01 1.5407e-05 3.4392e-06 2.1761e+00 2.1761e+00 3.7228e+00 1.2538e+00 6.8815e+00 6.8815e+00
2.1081e+01 1.3836e-05 3.0920e-06 2.1948e+00 2.1948e+00 3.5812e+00 1.1877e+00 6.9407e+00 6.9407e+00
2.1171e+01 1.2428e-05 2.7803e-06 2.2136e+00 2.2136e+00 3.4405e+00 1.1247e+00 7.0001e+00 7.0001e+00
2.1261e+01 1.1165e-05 2.5005e-06 2.2325e+00 2.2325e+00 3.3013e+00 1.0647e+00 7.0598e+00 7.0598e+00
2.1351e+01 1.0032e-05 2.2492e-06 2.2515e+00 2.2515e+00 3.1641e+00 1.0077e+00 7.1198e+00 7.1198e+00
2.1441e+01 9.0154e-06 2.0235e-06 2.2705e+00 2.2705e+00 3.0292e+00 9.5349e-01 7.1800e+00 7.1800e+00
2.1532e+01 8.1034e-06 1.8207e-06 2.2896e+00 2.2896e+00 2.8972e+00 9.0200e-01 7.2404e+00 7.2404e+00
2.1622e+01 7.2848e-06 1.6385e-06 2.3088e+00 2.3088e+00 2.7683e+00 8.5313e-01 7.3012e+00 7.3012e+00
2.1712e+01 6.5500e-06 1.4748e-06 2.3281e+00 2.3281e+00 2.6428e+00 8.0675e-01 7.3621e+00 7.3621e+00
2.1802e+01 5.8904e-06 1.3277e-06 2.3475e+00 2.3475e+00 2.5209e+00 7.6278e-01 7.4233e+00 7.4233e+00
2.1892e+01 5.2980e-06 1.1954e-06 2.3669e+00 2.3669e+00 2.4028e+00 7.2111e-01 7.4848e+00 7.4848e+00
